(?:)
(?:)
&#10;	!\n!
&#24517;	必
&#24524;	忌
&#24525;	忍
&#24535;	志
&#24536;	忘
&#24540;	応
&#24544;	忠
&#24555;	快
&#24557;	忭
&#24565;	念
&#24571;	忻
&#24573;	忽
&#24576;	怀
&#24577;	态
&#24594;	怒
&#24605;	思
&#24609;	怡
&#24613;	急
&#24615;	性
&#24616;	怨
&#24618;	怪
&#24635;	总
&#24646;	恆
&#24651;	恋
&#24656;	恐
&#24658;	恒
&#24674;	恢
&#24680;	恨
&#24681;	恩
&#24682;	恪
&#24684;	恬
&#24685;	恭
&#24687;	息
&#24693;	恵
&#24694;	恶
&#24735;	悟
&#24736;	悠
&#24744;	您
&#24746;	悪
&#24748;	悬
&#24764;	悼
&#24773;	情
&#24775;	惇
&#24785;	惑
&#24799;	惟
&#24800;	惠
&#24801;	惡
&#24807;	惧
&#24818;	惲
&#24819;	想
&#24825;	惹
&#24840;	愈
&#24845;	愍
&#24847;	意
&#24852;	愔
&#24858;	愚
&#24859;	愛
&#24863;	感
&#24872;	愨
&#24887;	愷
&#24895;	愿
&#24904;	慈
&#24907;	態
&#24910;	慎
&#24917;	慕
&#24931;	慣
&#24935;	慧
&#24944;	慰
&#24950;	慶
&#24976;	憐
&#24977;	憑
&#25000;	憨
&#25010;	憲
&#25014;	憶
&#25022;	憾
&#25026;	懂
&#25032;	懈
&#25033;	應
&#25035;	懋
&#25040;	懐
&#25078;	懶
&#25079;	懷
&#25080;	懸
&#25087;	懿
&#25088;	戀
&#25095;	戇
&#25096;	戈
&#25098;	戊
&#25100;	戌
&#25103;	戏
&#25104;	成
&#25105;	我
&#25106;	戒
&#25110;	或
&#25112;	战
&#25114;	戚
&#25119;	戟
&#25126;	戦
&#25130;	截
&#25136;	戰
&#25138;	戲
&#25139;	戳
&#25140;	戴
&#25142;	戶
&#25143;	户
&#25144;	戸
&#25151;	房
&#25152;	所
&#25153;	扁
&#25155;	扃
&#25159;	扇
&#25160;	扈
&#25161;	扉
&#25163;	手
&#25164;	扌
&#25165;	才
&#25171;	打
&#25176;	托
&#25187;	扣
&#25196;	扬
&#25198;	扮
&#25199;	扯
&#25206;	扶
&#25209;	批
&#25214;	找
&#25215;	承
&#25216;	技
&#25220;	抄
&#25226;	把
&#25237;	投
&#25239;	抗
&#25240;	折
&#25242;	抚
&#25244;	抜
&#25252;	护
&#25253;	报
&#25265;	抱
&#25273;	抹
&#25276;	押
&#25277;	抽
&#25285;	担
&#25286;	拆
&#25289;	拉
&#25293;	拍
&#25295;	拏
&#25296;	拐
&#25299;	拓
&#25300;	拔
&#25307;	招
&#25308;	拜
&#25312;	拠
&#25313;	拡
&#25324;	括
&#25331;	拳
&#25340;	拼
&#25342;	拾
&#25343;	拿
&#25345;	持
&#25346;	挂
&#25351;	指
&#25353;	按
&#25361;	挑
&#25369;	挙
&#25379;	挣
&#25381;	挥
&#25391;	振
&#25403;	挻
&#25420;	捌
&#25429;	捕
&#25442;	换
&#25447;	捧
&#25454;	据
&#25458;	捲
&#25466;	捺
&#25467;	捻
&#25480;	授
&#25484;	掌
&#25490;	排
&#25494;	掖
&#25496;	掘
&#25499;	掛
&#25504;	掠
&#25506;	探
&#25509;	接
&#25511;	控
&#25512;	推
&#25522;	掲
&#25542;	揆
&#25545;	揉
&#25552;	提
&#25554;	插
&#25562;	揚
&#25563;	換
&#25569;	握
&#25581;	揭
&#25613;	損
&#25622;	搖
&#25628;	搜
&#25630;	搞
&#25645;	搭
&#25662;	搾
&#25666;	摂
&#25671;	摇
&#x6469;	摩
&#25731;	撃
&#25735;	撇
&#25736;	撈
&#25746;	撒
&#25771;	撫
&#25773;	播
&#25774;	撮
&#25776;	撰
&#25794;	擂
&#25799;	擇
&#25805;	操
&#25806;	擎
&#25810;	擒
&#25812;	擔
&#25818;	據
&#25850;	擺
&#25854;	擾
&#25856;	攀
&#25885;	攝
&#25903;	支
&#25909;	攵
&#25910;	收
&#25912;	攸
&#25913;	改
&#25915;	攻
&#25918;	放
&#25919;	政
&#25925;	故
&#25928;	效
&#25934;	敎
&#25935;	敏
&#25937;	救
&#25942;	敖
&#25943;	敗
&#25945;	教
&#25950;	敞
&#x6562;	敢
&#25955;	散
&#25958;	敦
&#25964;	敬
&#25968;	数
&#25972;	整
&#25973;	敵
&#25975;	敷
&#25976;	數
&#25991;	文
&#25993;	斉
&#25995;	斋
&#25998;	斎
&#26001;	斑
&#26007;	斗
&#26009;	料
&#26011;	斛
&#26012;	斜
&#26017;	斡
&#26020;	斤
&#26023;	斧
&#26028;	斬
&#26029;	断
&#26031;	斯
&#26032;	新
&#26039;	斷
&#26041;	方
&#26045;	施
&#26053;	旅
&#26059;	旋
&#26060;	旌
&#26063;	族
&#26071;	旗
&#26080;	无
&#26082;	既
&#x65e5;	日
&#26086;	旦
&#26088;	旨
&#26089;	早
&#26092;	旬
&#26093;	旭
&#26102;	时
&#26106;	旺
&#26107;	旻
&#26114;	昂
&#26118;	昆
&#26119;	昇
&#26121;	昉
&#26122;	昊
&#26124;	昌
&#x660e;	明
&#26127;	昏
&#26131;	易
&#26137;	昙
&#26143;	星
&#26144;	映
&#26149;	春
&#26151;	昧
&#26154;	昪
&#26155;	昫
&#x662D;	昭
&#26159;	是
&#26161;	昱
&#26164;	昴
&#26166;	昶
&#26172;	昼
&#26174;	显
&#26178;	時
&#26179;	晃
&#26184;	晈
&#26185;	晉
&#26187;	晋
&#26195;	晓
&#26207;	晟
&#26217;	晩
&#26218;	晪
&#26222;	普
&#26223;	景
&#26228;	晴
&#26230;	晶
&#26234;	智
&#26249;	暉
&#26254;	暎
&#26257;	暑
&#26263;	暗
&#26272;	暠
&#26278;	暦
&#26286;	暮
&#26292;	暴
&#26294;	暶
&#26308;	曄
&#26310;	曆
&#26313;	曉
&#26316;	曌
&#26326;	曖
&#26332;	曜
&#26352;	曰
&#26354;	曲
&#26356;	更
&#26359;	曷
&#26360;	書
&#26361;	曹
&#26364;	曼
&#26365;	曽
&#26366;	曾
&#26367;	替
&#26368;	最
&#26371;	會
&#26376;	月
&#26377;	有
&#26379;	朋
&#26381;	服
&#26387;	朓
&#26388;	朔
&#26391;	朗
&#26395;	望
&#26397;	朝
&#26399;	期
&#x6728;	木
&#26410;	未
&#26411;	末
&#26412;	本
&#26413;	札
&#26415;	术
&#26417;	朱
&#x6734;	朴
&#26421;	朵
&#26422;	朶
&#26426;	机
&#26432;	杀
&#26434;	杂
&#26435;	权
&#26441;	杉
&#26446;	李
&#26447;	杏
&#26448;	材
&#26449;	村
&#26451;	杓
&#26454;	杖
&#26460;	杜
&#26463;	束
&#x6760;	杠
&#26465;	条
&#26469;	来
&#26472;	杨
&#26477;	杭
&#26479;	杯
&#26480;	杰
&#26481;	東
&#26482;	杲
&#26485;	杵
&#26492;	杼
&#26494;	松
&#26495;	板
&#26497;	极
&#26500;	构
&#26512;	析
&#26517;	枕
&#26519;	林
&#26522;	枚
&#26524;	果
&#26525;	枝
&#26526;	枞
&#26528;	枠
&#26530;	枢
&#26531;	枣
&#26538;	枪
&#26543;	枯
&#26550;	架
&#26564;	柄
&#26575;	柏
&#26579;	染
&#26580;	柔
&#26588;	柜
&#26589;	柝
&#26597;	查
&#26601;	柩
&#26607;	柯
&#26609;	柱
&#26611;	柳
&#26612;	柴
&#26613;	柵
&#26615;	柷
&#26619;	査
&#26627;	栃
&#26628;	栄
&#26631;	标
&#26635;	栋
&#26639;	栏
&#26641;	树
&#26646;	栖
&#26647;	栗
&#26657;	校
&#26658;	栢
&#26666;	株
&#26679;	样
&#26680;	核
&#26681;	根
&#26684;	格
&#26685;	栽
&#26688;	桀
&#26689;	桁
&#26690;	桂
&#26691;	桃
&#26694;	框
&#26696;	案
&#26700;	桌
&#26704;	桐
&#26705;	桑
&#26707;	桓
&#26716;	桜
&#26725;	桥
&#26740;	桴
&#26742;	桶
&#26753;	梁
&#26757;	梅
&#26758;	梆
&#26771;	梓
&#26781;	條
&#26790;	梦
&#26791;	梧
&#26792;	梨
&#26797;	梭
&#26799;	梯
&#26800;	械
&#26805;	梵
&#26816;	检
&#26820;	棄
&#26825;	棉
&#26827;	棋
&#26829;	棍
&#26834;	棒
&#26839;	棗
&#26847;	棟
&#26848;	棠
&#26851;	棣
&#26855;	棧
&#26862;	森
&#26869;	棵
&#26875;	棻
&#26885;	椅
&#26893;	植
&#26894;	椎
&#26898;	椒
&#26908;	検
&#26928;	椰
&#26946;	楂
&#26954;	楊
&#26965;	楕
&#26969;	楙
&#26970;	楚
&#26976;	楠
&#26978;	楢
&#26984;	楨
&#26989;	業
&#26995;	楳
&#26997;	極
&#26999;	楷
&#27004;	楼
&#27005;	楽
&#27022;	榎
&#27048;	榨
&#27054;	榮
&#27075;	槃
&#27083;	構
&#27085;	槍
&#27088;	槐
&#27091;	槓
&#27096;	様
&#27138;	樂
&#27146;	樊
&#27153;	樑
&#27155;	樓
&#27161;	標
&#27166;	樞
&#27167;	樟
&#27169;	模
&#27171;	樣
&#27177;	権
&#27178;	横
&#27179;	樫
&#27189;	樵
&#27192;	樸
&#27193;	樹
&#27194;	樺
&#27197;	樽
&#27211;	橋
&#27231;	機
&#27243;	橫
&#27249;	橱
&#27264;	檀
&#27278;	檎
&#27287;	檗
&#27292;	檜
&#27298;	檢
&#27323;	檻
&#27387;	櫻
&#27402;	權
&#27424;	欠
&#27425;	次
&#27426;	欢
&#27427;	欣
&#27431;	欧
&#27453;	欽
&#27454;	款
&#27468;	歌
&#27470;	歎
&#27472;	歐
&#27475;	歓
&#27481;	歙
&#27489;	歡
&#27490;	止
&#27491;	正
&#27492;	此
&#27493;	步
&#27494;	武
&#27495;	歧
&#27497;	歩
&#27503;	歯
&#27506;	歲
&#27507;	歳
&#27508;	歴
&#27511;	歷
&#27512;	歸
&#27515;	死
&#27526;	殆
&#27529;	殉
&#27530;	殊
&#27531;	残
&#27542;	殖
&#27565;	殭
&#27573;	段
&#27575;	殷
&#27578;	殺
&#27579;	殻
&#27583;	殿
&#27585;	毁
&#27589;	毅
&#27595;	毋
&#27597;	母
&#27598;	毎
&#27599;	每
&#27602;	毒
&#27604;	比
&#27605;	毕
&#27607;	毗
&#27608;	毘
&#27611;	毛
&#27627;	毫
&#27663;	氏
&#27664;	氐
&#27665;	民
&#27668;	气
&#x6C17;	気
&#27682;	氢
&#27683;	氣
&#27687;	氧
&#27691;	氫
&#27694;	氮
&#27696;	氰
&#27700;	水
&#27701;	氵
&#27703;	氷
&#27704;	永
&#27712;	汀
&#27713;	汁
&#27714;	求
&#27719;	汇
&#27721;	汉
&#27726;	汎
&#27735;	汗
&#27743;	江
&#27744;	池
&#27748;	汤
&#27754;	汪
&#27770;	決
&#27773;	汽
&#27774;	汾
&#27777;	沁
&#27778;	沂
&#27779;	沃
&#27781;	沅
&#27784;	沈
&#27794;	沒
&#27798;	沖
&#27801;	沙
&#27803;	沛
&#27807;	沟
&#27809;	没
&#27810;	沢
&#27811;	沣
&#27815;	沧
&#27819;	沫
&#27827;	河
&#27832;	沸
&#27833;	油
&#27835;	治
&#27836;	沼
&#27837;	沽
&#27839;	沿
&#27844;	泄
&#27846;	泆
&#27849;	泉
&#27850;	泊
&#27859;	泓
&#x6CD5;	法
&#27863;	泗
&#27867;	泛
&#27872;	泠
&#27873;	泡
&#27874;	波
&#27875;	泣
&#27877;	泥
&#27880;	注
&#27888;	泰
&#27891;	泳
&#27896;	泸
&#27900;	泼
&#27901;	泽
&#27915;	洋
&#27922;	洒
&#27927;	洗
&#27931;	洛
&#27933;	洝
&#27934;	洞
&#27941;	津
&#27945;	洩
&#27946;	洪
&#27954;	洲
&#27957;	洵
&#27958;	洶
&#27961;	洹
&#27963;	活
&#27966;	派
&#27969;	流
&#27972;	浄
&#27973;	浅
&#27979;	测
&#27982;	济
&#27986;	浒
&#27988;	浔
&#27993;	浙
&#27996;	浜
&#28006;	浦
&#28009;	浩
&#28010;	浪
&#28014;	浮
&#28023;	海
&#28024;	浸
&#28031;	浿
&#28034;	涂
&#28037;	涅
&#28040;	消
&#28041;	涉
&#28044;	涌
&#28057;	涙
&#28060;	涜
&#28070;	润
&#28078;	涮
&#28079;	涯
&#28082;	液
&#28085;	涵
&#28092;	涼
&#28095;	涿
&#28100;	淄
&#28103;	淇
&#28107;	淋
&#28113;	淑
&#28118;	淖
&#28120;	淘
&#28122;	淚
&#28123;	淛
&#28129;	淡
&#28134;	淦
&#28136;	淨
&#28142;	淮
&#28145;	深
&#28147;	淳
&#28149;	淵
&#28151;	混
&#28152;	淸
&#28154;	淺
&#28155;	添
&#28165;	清
&#28168;	済
&#28170;	渊
&#28185;	渙
&#28187;	減
&#28192;	渠
&#28193;	渡
&#28196;	渤
&#28197;	渥
&#28198;	渦
&#28201;	温
&#28204;	測
&#28205;	渭
&#28207;	港
&#28216;	游
&#28218;	渺
&#28228;	湄
&#28233;	湉
&#28246;	湖
&#28248;	湘
&#28251;	湛
&#28262;	湦
&#28271;	湯
&#28286;	湾
&#28287;	湿
&#28288;	満
&#28297;	溉
&#28304;	源
&#28310;	準
&#28317;	溝
&#28325;	溥
&#28330;	溪
&#28331;	溫
&#28340;	溴
&#28342;	溶
&#28353;	滁
&#28356;	滄
&#28357;	滅
&#28359;	滇
&#28363;	滋
&#28369;	滑
&#28372;	滔
&#28373;	滕
&#28376;	滘
&#28377;	滙
&#28381;	滝
&#28385;	满
&#28392;	滨
&#28399;	滯
&#28404;	滴
&#28408;	滸
&#28415;	滿
&#28418;	漂
&#28422;	漆
&#28435;	漓
&#28436;	演
&#28448;	漠
&#28450;	漢
&#28451;	漣
&#28457;	漩
&#28458;	漪
&#28459;	漫
&#28463;	漯
&#28466;	漲
&#28467;	漳
&#28472;	漸
&#28493;	潍
&#28500;	潔
&#28504;	潘
&#28508;	潜
&#28510;	潞
&#28511;	潟
&#28516;	潤
&#28525;	潭
&#28526;	潮
&#28540;	潼
&#28548;	澄
&#28558;	澎
&#28567;	澗
&#28572;	澜
&#28580;	澤
&#28595;	澳
&#28608;	激
&#28610;	濂
&#28618;	濊
&#28629;	濕
&#28639;	濟
&#28644;	濤
&#28652;	濬
&#28654;	濮
&#28655;	濯
&#28656;	濰
&#28657;	濱
&#28683;	瀋
&#28699;	瀛
&#28703;	瀟
&#28716;	瀬
&#x704C;	灌
&#28760;	灘
&#28771;	灣
&#28779;	火
&#28780;	灬
&#28781;	灭
&#28783;	灯
&#28784;	灰
&#28789;	灵
&#28790;	灶
&#28797;	災
&#28798;	灾
&#28809;	炉
&#28814;	炎
&#28818;	炒
&#28822;	炖
&#28845;	炭
&#28846;	炮
&#28847;	炯
&#28851;	炳
&#28855;	炷
&#28856;	炸
&#28857;	点
&#28858;	為
&#28872;	烈
&#28879;	烏
&#28889;	烙
&#28895;	烟
&#28900;	烤
&#28909;	热
&#28921;	烹
&#28925;	烽
&#28937;	焉
&#28950;	焖
&#28951;	焗
&#x7121;	無
&#28966;	焦
&#28982;	然
&#28988;	焼
&#29002;	煊
&#29004;	煌
&#29006;	煎
&#29013;	煕
&#29017;	煙
&#29020;	煜
&#29028;	煤
&#29031;	照
&#29036;	煬
&#29042;	煲
&#29064;	熈
&#29066;	熊
&#29076;	熔
&#29081;	熙
&#29087;	熟
&#29096;	熨
&#29105;	熱
&#29113;	熹
&#29121;	燁
&#29123;	燃
&#29128;	燈
&#29129;	燉
&#29138;	燒
&#29141;	燕
&#29148;	燜
&#29151;	營
&#29157;	燥
&#29158;	燦
&#29159;	燧
&#29166;	燮
&#29180;	燼
&#29182;	燾
&#29190;	爆
&#29200;	爐
&#29211;	爛
&#29224;	爨
&#29226;	爪
&#29228;	爬
&#29229;	爭
&#29232;	爰
&#29233;	爱
&#29237;	爵
&#29238;	父
&#29240;	爸
&#29242;	爺
&#29243;	爻
&#29245;	爽
&#29246;	爾
&#29255;	片
&#29256;	版
&#29260;	牌
&#29266;	牒
&#29272;	牘
&#29273;	牙
&#29275;	牛
&#29279;	牟
&#29281;	牡
&#29282;	牢
&#29287;	牧
&#29289;	物
&#29298;	牲
&#29305;	特
&#29312;	犀
&#29344;	犠
&#29356;	犬
&#29357;	犭
&#29359;	犯
&#29364;	犴
&#29366;	状
&#29369;	犹
&#29376;	狀
&#29377;	狁
&#29378;	狂
&#29392;	狐
&#29399;	狗
&#29417;	狩
&#x72EC;	独
&#29421;	狭
&#29428;	狴
&#29435;	狻
&#29436;	狼
&#29450;	猊
&#29467;	猛
&#29468;	猜
&#29474;	猢
&#29482;	猪
&#29483;	猫
&#29486;	献
&#29492;	猴
&#29495;	猷
&#29499;	猻
&#29503;	猿
&#29508;	獄
&#29509;	獅
&#29518;	獎
&#29539;	獣
&#29544;	獨
&#29560;	獸
&#29563;	獻
&#29569;	玁
&#29572;	玄
&#29575;	率
&#29577;	玉
&#29579;	王
&#29589;	玕
&#29590;	玖
&#29595;	玛
&#29599;	玟
&#29609;	玩
&#29615;	环
&#29616;	现
&#29618;	玲
&#29627;	玻
&#29632;	珀
&#29637;	珅
&#29642;	珊
&#29645;	珍
&#29662;	珞
&#29664;	珠
&#29667;	珣
&#29673;	珩
&#29674;	珪
&#29677;	班
&#29682;	珲
&#29694;	現
&#29699;	球
&#29702;	理
&#29705;	琉
&#29723;	琛
&#29734;	琦
&#29738;	琪
&#29742;	琮
&#29743;	琯
&#29744;	琰
&#29747;	琳
&#29748;	琴
&#29749;	琵
&#29750;	琶
&#29756;	琼
&#29759;	琿
&#29761;	瑁
&#29781;	瑕
&#29786;	瑚
&#29787;	瑛
&#29788;	瑜
&#29790;	瑞
&#29791;	瑟
&#29796;	瑤
&#29801;	瑩
&#29802;	瑪
&#29809;	瑱
&#29814;	瑶
&#29822;	瑾
&#29827;	璃
&#29833;	璉
&#29835;	璋
&#29840;	璐
&#29855;	璟
&#29857;	璡
&#29863;	璧
&#29865;	璩
&#29872;	環
&#29885;	璽
&#29887;	璿
&#29898;	瓊
&#29908;	瓔
&#29912;	瓘
&#29916;	瓜
&#29923;	瓣
&#29934;	瓮
&#29935;	瓯
&#29942;	瓶
&#29943;	瓷
&#29964;	甌
&#29973;	甕
&#29976;	甘
&#29983;	生
&#29986;	產
&#29987;	産
&#29992;	用
&#29995;	甫
&#x7530;	田
&#30001;	由
&#30002;	甲
&#30003;	申
&#30005;	电
&#30007;	男
&#30008;	甸
&#30010;	町
&#30011;	画
&#30028;	界
&#30041;	留
&#30044;	畜
&#30045;	畝
&#30050;	畢
&#30053;	略
&#30058;	番
&#30059;	畫
&#30064;	異
&#30066;	畲
&#30068;	畴
&#30070;	當
&#30079;	畿
&#30083;	疃
&#30086;	疆
&#30094;	疎
&#30095;	疏
&#30097;	疑
&#30098;	疒
&#30142;	疾
&#30149;	病
&#30151;	症
&#30171;	痛
&#30219;	瘋
&#30221;	瘍
&#30274;	療
&#30328;	癸
&#30330;	発
&#30331;	登
&#30332;	發
&#30333;	白
&#x767E;	百
&#30338;	皂
&#30340;	的
&#30342;	皆
&#30343;	皇
&#30347;	皋
&#30352;	皐
&#30355;	皓
&#30358;	皖
&#30366;	皞
&#30382;	皮
&#30405;	盅
&#30406;	盆
&#30408;	盈
&#30410;	益
&#30416;	盐
&#30423;	盗
&#30424;	盘
&#30427;	盛
&#30431;	盟
&#30435;	監
&#30436;	盤
&#30439;	盧
&#30446;	目
&#30452;	直
&#30456;	相
&#30462;	盾
&#30465;	省
&#30473;	眉
&#30475;	看
&#30476;	県
&#30494;	眞
&#30495;	真
&#30496;	眠
&#30501;	眥
&#30519;	眷
&#30524;	眼
&#30526;	眾
&#30528;	着
&#30554;	睚
&#30561;	睡
&#30563;	督
&#30566;	睦
&#30589;	睽
&#30591;	睿
&#30643;	瞳
&#30651;	瞻
&#30654;	瞾
&#30655;	瞿
&#30663;	矇
&#30683;	矛
&#30690;	矢
&#30691;	矣
&#30693;	知
&#30697;	矩
&#30701;	短
&#30707;	石
&#30719;	矿
&#30721;	码
&#30722;	砂
&#30740;	研
&#30741;	砕
&#30742;	砖
&#30758;	砦
&#30770;	砲
&#30772;	破
&#30773;	砵
&#30789;	硅
&#30791;	硇
&#30827;	硫
&#30828;	硬
&#30855;	碇
&#30862;	碎
&#30865;	碑
&#30871;	碗
&#30879;	碟
&#30887;	碧
&#30889;	碩
&#30896;	碰
&#30899;	碳
&#30906;	確
&#30908;	碼
&#30913;	磁
&#30932;	磔
&#30933;	磕
&#30952;	磨
&#30959;	磯
&#30977;	礁
&#30990;	礎
&#31001;	礙
&#31014;	礦
&#31034;	示
&#31035;	礻
&#31036;	礼
&#31038;	社
&#31047;	祇
&#31048;	祈
&#31056;	祐
&#31062;	祖
&#31066;	祚
&#31068;	祜
&#31069;	祝
&#31070;	神
&#31072;	祠
&#31077;	祥
&#31080;	票
&#31085;	祭
&#31098;	祺
&#31103;	祿
&#31105;	禁
&#31108;	禄
&#31109;	禅
&#31118;	禎
&#x798f;	福
&#31131;	禛
&#31140;	禤
&#31142;	禦
&#31143;	禧
&#31146;	禪
&#31150;	禮
&#31153;	禱
&#31161;	禹
&#31162;	禺
&#31163;	离
&#31165;	禽
&#31166;	禾
&#31167;	禿
&#31168;	秀
&#31169;	私
&#31177;	秉
&#31179;	秋
&#31181;	种
&#31185;	科
&#31186;	秒
&#31192;	秘
&#31204;	秤
&#31206;	秦
&#31209;	秩
&#31213;	秭
&#31215;	积
&#31216;	称
&#31227;	移
&#31243;	程
&#31252;	稔
&#31257;	稙
&#31258;	稚
&#31278;	種
&#x7a31;	稱
&#31282;	稲
&#31283;	稳
&#31287;	稷
&#31293;	稽
&#31295;	稿
&#31296;	穀
&#31298;	穂
&#31302;	穆
&#31309;	積
&#31310;	穎
&#31344;	穰
&#31348;	穴
&#31350;	究
&#31353;	穹
&#31354;	空
&#31359;	穿
&#31361;	突
&#31378;	窒
&#31379;	窓
&#31391;	窟
&#31395;	窣
&#31398;	窦
&#31401;	窩
&#31406;	窮
&#31418;	窺
&#31431;	竇
&#31435;	立
&#31449;	站
&#31452;	竜
&#31454;	竞
&#x7AE0;	章
&#31459;	竣
&#31461;	童
&#31471;	端
&#31478;	競
&#31481;	竹
&#31487;	竿
&#31496;	笈
&#31499;	笋
&#31505;	笑
&#31508;	笔
&#31513;	笙
&#31515;	笛
&#31520;	笠
&#31526;	符
&#31528;	笨
&#31532;	第
&#31548;	笼
&#31557;	筅
&#31558;	筆
&#31559;	筇
&#31561;	等
&#31563;	筋
&#31569;	筑
&#31570;	筒
&#31572;	答
&#31574;	策
&#31579;	筛
&#31584;	筠
&#31601;	筱
&#31602;	筲
&#31607;	筷
&#31609;	筹
&#31616;	简
&#31637;	箕
&#31639;	算
&#31649;	管
&#31665;	箱
&#31680;	節
&#31684;	範
&#31686;	篆
&#31687;	篇
&#31689;	築
&#31716;	篤
&#31721;	篩
&#31726;	篮
&#31755;	簋
&#31777;	簡
&#31806;	簾
&#31807;	簿
&#31820;	籌
&#31821;	籍
&#31840;	籠
&#31859;	米
&#31867;	类
&#31881;	粉
&#31890;	粒
&#31896;	粘
&#31908;	粤
&#31909;	粥
&#31918;	粮
&#31921;	粱
&#31925;	粵
&#31934;	精
&#31957;	糕
&#31958;	糖
&#31964;	糜
&#31966;	糞
&#31975;	糧
&#31983;	糯
&#31992;	糸
&#31995;	系
&#32000;	紀
&#32002;	紂
&#32004;	約
&#32005;	紅
&#32007;	紇
&#32011;	紋
&#32013;	納
&#32016;	紐
&#32020;	純
&#32023;	紗
&#32024;	紘
&#32025;	紙
&#32026;	級
&#32027;	紛
&#32032;	素
&#32034;	索
&#32043;	紫
&#32047;	累
&#32048;	細
&#32057;	紹
&#32058;	紺
&#32066;	終
&#32068;	組
&#32076;	経
&#32080;	結
&#32085;	絕
&#32094;	絞
&#32097;	絡
&#32102;	給
&#32113;	統
&#32114;	絲
&#32115;	絳
&#32117;	絵
&#32118;	絶
&#32121;	絹
&#32143;	綏
&#32147;	經
&#32154;	続
&#32156;	綜
&#32160;	綠
&#32173;	維
&#32176;	綰
&#32177;	綱
&#32178;	網
&#32180;	綴
&#32186;	綺
&#32189;	綽
&#32191;	綿
&#32202;	緊
&#32207;	総
&#32209;	緑
&#32210;	緒
&#32218;	線
&#32224;	締
&#32227;	緣
&#32232;	編
&#32239;	緯
&#32241;	緱
&#32249;	緹
&#32257;	縁
&#32260;	縄
&#32264;	縈
&#32283;	縛
&#32291;	縣
&#32294;	縦
&#32302;	縮
&#32305;	縱
&#32317;	總
&#32318;	績
&#32321;	繁
&#32324;	繄
&#32330;	繊
&#32340;	織
&#32361;	繩
&#32377;	繹
&#32380;	繼
&#32399;	纏
&#32406;	纖
&#32418;	红
&#32422;	约
&#32423;	级
&#32426;	纪
&#32428;	纬
&#32434;	纲
&#32435;	纳
&#32437;	纵
&#32442;	纺
&#32445;	纽
&#32447;	线
&#32452;	组
&#32454;	细
&#32455;	织
&#32456;	终
&#32461;	绍
&#32463;	经
&#32467;	结
&#32472;	绘
&#32476;	络
&#32477;	绝
&#32479;	统
&#32485;	绥
&#32487;	继
&#32496;	绰
&#32500;	维
&#32501;	绵
&#32503;	绷
&#32511;	绿
&#32534;	编
&#32536;	缘
&#32553;	缩
&#32568;	缸
&#32593;	网
&#32597;	罕
&#32599;	罗
&#32600;	罘
&#32618;	罪
&#32622;	置
&#32624;	罰
&#32626;	署
&#32637;	罽
&#32642;	羂
&#32645;	羅
&#32650;	羊
&#32652;	羌
&#32654;	美
&#32670;	羞
&#32676;	群
&#32681;	義
&#32687;	羯
&#32690;	羲
&#32697;	羹
&#32701;	羽
&#32705;	翁
&#32709;	翅
&#32714;	翊
&#32716;	翌
&#32722;	習
&#32726;	翖
&#32735;	翟
&#32736;	翠
&#32737;	翡
&#32752;	翰
&#32755;	翳
&#32764;	翼
&#32768;	耀
&#32769;	老
&#32771;	考
&#32773;	者
&#32780;	而
&#32784;	耐
&#32791;	耗
&#32819;	耳
&#32822;	耶
&#32829;	耽
&#32831;	耿
&#32834;	聂
&#32835;	聃
&#32842;	聊
&#32844;	职
&#32852;	联
&#32854;	聖
&#32858;	聚
&#32862;	聞
&#32879;	聯
&#32880;	聰
&#32882;	聲
&#32884;	聴
&#32886;	聶
&#32887;	職
&#32893;	聽
&#32895;	聿
&#32899;	肃
&#32900;	肄
&#32901;	肅
&#32903;	肇
&#32905;	肉
&#32918;	肖
&#32925;	肝
&#32929;	股
&#32933;	肥
&#32943;	肯
&#32946;	育
&#32952;	肸
&#32963;	胃
&#32966;	胆
&#32972;	背
&#32974;	胎
&#32988;	胜
&#32990;	胞
&#32993;	胡
&#32996;	胤
&#32997;	胥
&#33012;	胴
&#33014;	胶
&#33021;	能
&#33026;	脂
&#33032;	脈
&#33033;	脉
&#33034;	脊
&#33039;	脏
&#33050;	脚
&#33065;	脩
&#33067;	脫
&#33071;	脯
&#33073;	脱
&#33075;	脳
&#33079;	脷
&#33086;	脾
&#33098;	腊
&#33104;	腐
&#33108;	腔
&#33109;	腕
&#33126;	腦
&#33129;	腩
&#33136;	腰
&#33144;	腸
&#33145;	腹
&#33146;	腺
&#33150;	腾
&#33167;	膏
&#33180;	膜
&#33184;	膠
&#33193;	膩
&#33203;	膳
&#33215;	膿
&#33225;	臉
&#33231;	臏
&#33240;	臘
&#33251;	臣
&#33253;	臥
&#33256;	臨
&#33258;	自
&#33261;	臭
&#33267;	至
&#33268;	致
&#33274;	臺
&#33275;	臻
&#33276;	臼
&#33278;	臾
&#33285;	舅
&#33287;	與
&#33288;	興
&#33289;	舉
&#33290;	舊
&#33292;	舌
&#33293;	舍
&#x820E;	舎
&#33298;	舒
&#33308;	舜
&#33310;	舞
&#33311;	舟
&#33314;	舢
&#33322;	航
&#33324;	般
&#33328;	舰
&#33337;	船
&#33351;	艇
&#33368;	艘
&#33382;	艦
&#33390;	艮
